貨櫃,,,,,,,,,,,,貨櫃裡,,貨櫃外,,貨櫃外,
225/35-20,2,225/40-19,2,215/40-18,0,205/40-17,1,175/60-16,0,,,175-14,2,185-14,2,235/55-19,0
235/55-20,3,225/45-19,2,215/45-18,0,205/45-17,0,185/55-16,0,185-14,1,205/70-15,2,700-15,2,215/65-16,5
245/30-20,1,225/55-19,0,215/50-18,4,205/50-17,0,195/45-16,0,175-14,0,205/60-16,1,165/65-15,3,225/45-18,1
245/35-20,1,235/35-19,0,215/55-18,1,205/55-17,0,195/50-16,0,165/70-14,0,235/70-16,4,175/60-16,1,215/55-18,0
245/40-20,1,235/40-19,1,225/35-18,2,215/45-17,0,195/55-16,0,175/65-14,0,225/55-17,1,205/50-16,1,245/35-20,1
245/45-20,1,235/45-19,1,225/40-18,0,215/50-17,0,195/60-16,0,175/70-14,0,225/65-17,0,215/45-16,4,205/60-16,2
255/40-20,1,235/50-19,3,225/45-18,0,215/55-17,1,195/65-16,0,185/60-14,0,235/55-17,1,215/65-16,2,195/70-15 ,3
255/45-20,3,235/55-19,1,225/50-18,2,215/60-17,3,195/75-16,0,185/65-14,0,215/50-18,2,205/40-17,2,,
255/50-20,1,245/30-19,0,225/55-18,3,215/65-17,1,205/45-16,0,185/70-14,0,235/45-18,2,205/55-17,1,,
265/30-20,0,245/35-19,0,225/60-18,5,225/45-17,0,205/50-16,0,195/60-14,0,235/50-18,0,215/55-17,2,,
265/35-20,1,245/40-19,3,235/40-18,0,225/50-17,0,205/55-16,0,195/70-14,0,255/40-18,2,225/50-17,0,,
275/30-20,1,245/45-19,2,235/45-18,0,225/55-17,0,205/60-16,0,,,255/55-18,2,215/45-18,1,,
275/35-20,2,245/50-19,2,235/50-18,1,225/60-17,2,205/65-16,1,155-13,0,235/35-19,0,235/60-18,1,,
275/45-20,2,255/35-19,1,235/55-18,４,225/65-17,0,205/75-16,0,165-13,0,235/40-19,2,245/35-18,1,,
285/25-20,1,255/40-19,0,235/60-18,3,235/45-17,0,215/45-16,0,165/65-13,0,235/55-19,2,255/35-18,1,,
285/40-20,1,255/45-19,0,245/35-18,2,235/55-17,1,215/55-16,0,165/70-13,0,255/35-19,0,225/55-19,1,,
295/30-20,1,255/50-19,0,245/40-18,0,235/65-17,0,215/60-16,0,175/70-13,0,255/40-19,2,235/35-19,1,,
295/35-20,2,265/30-19,1,245/45-18,6,245/40-17,0,215/65-16,4,185/70-13,0,295/30-20,1,235/40-19,1,,
305/40-20,1,265/35-19,1,245/50-18,1,245/45-17,０,215/70-16,0,,,245/35-21,1,245/40-19,1,,
,,265/40-19,0,255/35-18,0,,,225/50-16,0,,,225/55-18,1,255/40-19,1,,
,,265/45-19,0,255/40-18,2,,,225/55-16,2,,,,,,,,
,,265/50-19,1,255/55-18,0,,,225/60-16,0,,,,,,,,
,,275/30-19,1,265/35-18,0,,,225/70-16,0,,,,,,,,
,,275/35-19,1,275/40-18,1,,,235/60-16,1,,,,,,,,
,,275/40-19,0,285/35-18,0,,,235/70-16,1,,,,,,,,
,,285/30-19,1,,,,,,,,,,,,,,
,,285/40-19,0,,,,,,,,,,,,,,
,,285/45-19,1,,,,,,,,,,,,,,
,,295/40-19,1,,,,,,,,,,,,,,